Linux 3.11.0-17-generic (axle) 	03/11/14 	_x86_64_	(64 CPU)

23:15:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:16:06        all      8.16      0.00      1.32      0.29      0.00     90.22
23:17:06        all      5.83      0.00      0.75      0.25      0.00     93.17
23:18:06        all      4.72      0.00      0.44      0.09      0.00     94.75
23:19:06        all      4.73      0.00      0.46      0.14      0.00     94.67
23:20:06        all      4.66      0.00      0.49      0.14      0.00     94.71
23:21:06        all      4.27      0.00      0.54      0.54      0.00     94.65
23:22:06        all      4.50      0.00      0.52      0.15      0.00     94.83
23:23:06        all      6.10      0.00      1.55      0.07      0.00     92.28
23:24:06        all      7.77      0.00      1.06      0.14      0.00     91.03
23:25:06        all      5.88      0.00      0.30      0.09      0.00     93.73
23:26:06        all      4.81      0.00      0.29      0.04      0.00     94.86
23:27:06        all      4.80      0.00      0.28      0.04      0.00     94.88
