# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415056566;683132;263436424;99.74;101136;225357320;134342924;49.09;168363324;85799916
axle;60;1415056626;617984;263501572;99.77;100096;225457340;134339848;49.09;169506480;84746256
axle;60;1415056686;491368;263628188;99.81;100284;225606640;134339848;49.09;169451932;84947536
axle;60;1415056746;568248;263551308;99.78;100672;225529620;134322736;49.08;169377504;84940600
axle;60;1415056806;481696;263637860;99.82;95156;224584668;135417892;49.48;169711040;84683108
axle;60;1415056866;562556;263557000;99.79;93580;221317548;138535324;50.62;170973088;83323852
axle;60;1415056926;5300528;258819028;97.99;92460;219719812;135717732;49.59;166671996;82912744
axle;60;1415056986;538128;263581428;99.80;91960;217018576;144580104;52.83;172914024;81413628
axle;60;1415057046;5363288;258756268;97.97;89300;213242704;141832276;51.82;169652236;79840156
axle;60;1415057106;6629572;257489984;97.49;89560;215259632;138370496;50.56;166351940;81841152
axle;60;1415057166;5718404;258401152;97.83;89776;216170516;138370496;50.56;166353352;82746204
axle;60;1415057226;3895076;260224480;98.53;89984;217988408;138430340;50.58;167672556;83252688
