# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415056566;3439.87;225131.47;71273.47;0.93;84156.13;36109.63;1300.68;37185.87;99.40
axle;60;1415056626;3366.67;128167.33;57059.93;0.05;54250.45;19842.27;762.18;20530.20;99.64
axle;60;1415056686;3396.67;71923.67;9047.87;0.00;29422.97;8076.45;71.80;8077.67;99.13
axle;60;1415056746;3396.93;87149.60;9047.48;0.00;29876.43;8947.23;12.42;8894.13;99.27
axle;60;1415056806;3390.60;79577.13;13351.70;0.00;31326.48;11009.52;587.63;11463.30;98.85
axle;60;1415056866;3088.13;157823.80;17841.35;0.02;27424.93;16957.27;740.25;17690.25;99.96
axle;60;1415056926;3385.47;42799.93;9760.58;0.12;47405.33;11888.90;59.17;11921.42;99.78
axle;60;1415056986;3372.00;22026.40;48973.77;0.00;54782.78;12504.25;5179.35;17619.70;99.64
axle;60;1415057046;3312.20;48634.07;40399.60;0.02;68782.27;26373.43;2504.38;28876.72;100.00
axle;60;1415057106;3387.20;28131.47;9368.38;0.28;24329.13;0.00;0.00;0.00;0.00
axle;60;1415057166;3425.73;12465.07;6619.92;0.00;17556.88;0.00;0.00;0.00;0.00
axle;60;1415057226;3395.20;11877.93;5286.28;0.13;8969.12;0.00;0.00;0.00;0.00
