# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415057907;sdb;1561.45;12097.07;84044.93;61.57;3.98;2.55;0.04;6.15
axle;60;1415057907;sda;31.35;0.27;1220.80;38.95;0.05;1.55;0.40;1.24
axle;60;1415057967;sdb;1510.58;12152.00;55761.60;44.96;4.23;2.80;0.04;5.32
axle;60;1415057967;sda;13.03;3.73;529.47;40.91;0.01;0.59;0.14;0.19
axle;60;1415058027;sdb;2845.10;11597.07;77470.53;31.31;7.42;2.61;0.03;7.87
axle;60;1415058027;sda;16.10;27.87;738.67;47.61;0.01;0.35;0.21;0.33
axle;60;1415058087;sdb;1764.12;11993.60;61868.53;41.87;7.75;4.39;0.05;8.62
axle;60;1415058087;sda;23.58;64.67;1054.80;47.47;0.01;0.38;0.20;0.46
axle;60;1415058147;sdb;1914.65;12189.87;55942.13;35.58;5.09;2.66;0.03;6.42
axle;60;1415058147;sda;5.82;36.80;385.60;72.62;0.01;0.87;0.77;0.45
axle;60;1415058207;sdb;2710.88;11993.73;71294.40;30.72;6.10;2.25;0.03;7.21
axle;60;1415058207;sda;13.95;75.07;545.73;44.50;0.01;0.61;0.28;0.39
axle;60;1415058267;sdb;331.68;12364.93;11290.67;71.32;1.04;3.14;0.09;2.82
axle;60;1415058267;sda;5.38;86.27;75.20;29.99;0.00;0.46;0.37;0.20
axle;60;1415058327;sdb;462.20;12488.53;15398.53;60.34;1.30;2.81;0.07;3.25
axle;60;1415058327;sda;5.15;63.73;73.33;26.61;0.00;0.49;0.39;0.20
axle;60;1415058387;sdb;299.30;12462.67;8083.73;68.65;0.76;2.54;0.09;2.59
axle;60;1415058387;sda;6.53;99.60;87.73;28.67;0.01;0.88;0.54;0.35
