# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415057907;1188264;262931292;99.55;94168;222848540;136278516;49.79;175854096;77697992
axle;60;1415057967;815520;263304036;99.69;94324;222745812;136767752;49.97;176526388;77381028
axle;60;1415058027;1321484;262798072;99.50;94236;221189088;137892704;50.38;175902740;77500320
axle;60;1415058087;2867912;261251644;98.91;94304;220565336;136952024;50.04;174230768;77612640
axle;60;1415058147;2462740;261656816;99.07;94540;220945552;136988272;50.05;174520568;77743348
axle;60;1415058207;2145796;261973760;99.19;94064;219512060;138737944;50.69;174614064;77967484
axle;60;1415058267;4522392;259597164;98.29;94284;219724484;136226888;49.77;172045348;78182704
axle;60;1415058327;4329332;259790224;98.36;94492;220112696;136013948;49.70;172029204;78388884
axle;60;1415058387;4058064;260061492;98.46;94708;220400372;136022328;49.70;172100696;78593228
