Linux 3.11.0-17-generic (axle) 	03/11/14 	_x86_64_	(64 CPU)

23:37:27        CPU     %user     %nice   %system   %iowait    %steal     %idle
23:38:27        all     14.48      0.00      3.29      0.05      0.00     82.18
23:39:27        all     14.57      0.00      3.29      0.04      0.00     82.10
23:40:27        all     14.64      0.00      3.24      0.07      0.00     82.05
23:41:27        all     14.92      0.00      2.99      0.12      0.00     81.97
23:42:27        all     14.61      0.00      3.29      0.06      0.00     82.04
23:43:27        all     15.21      0.00      2.58      0.05      0.00     82.16
23:44:27        all     13.81      0.00      2.50      0.01      0.00     83.68
23:45:27        all     13.86      0.00      2.47      0.01      0.00     83.65
23:46:27        all     13.47      0.00      2.75      0.01      0.00     83.76
