# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1415057907;6048.67;42632.87;585797.55;0.00;47713.30;8938.48;2154.67;10433.18;94.05
axle;60;1415057967;6077.87;28145.53;550752.38;0.07;40376.33;1018.08;1416.22;2146.93;88.20
axle;60;1415058027;5816.73;39110.87;458404.05;0.63;43100.43;6353.92;2292.37;8248.43;95.40
axle;60;1415058087;6024.87;31455.40;419334.17;1.10;57321.33;3392.17;1303.27;4507.35;95.99
axle;60;1415058147;6113.33;28163.87;546122.15;0.77;44701.63;0.00;223.82;194.05;86.70
axle;60;1415058207;6034.40;35920.07;390623.63;1.38;42483.47;5982.88;2161.32;7823.15;96.06
axle;60;1415058267;6225.60;5682.93;396269.40;1.47;52847.45;0.00;939.25;790.05;84.11
axle;60;1415058327;6276.13;7735.93;432250.57;1.08;27383.63;0.00;0.00;0.00;0.00
axle;60;1415058387;6281.13;4085.73;473872.42;1.50;33821.53;0.00;548.67;474.48;86.48
