# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact
axle;60;1415057333;4105828;260013728;98.45;91640;221862448;134360148;49.09;160238460;90532316
axle;60;1415057393;3679588;260439968;98.61;91756;221896132;134760292;49.24;161351868;89841700
axle;60;1415057453;2571192;261548364;99.03;91948;222280536;135494084;49.51;170561092;81743524
axle;60;1415057513;3431428;260688128;98.70;92232;222666480;134247736;49.05;170418964;81012856
axle;60;1415057573;2816580;261302976;98.93;92548;223065968;134483104;49.14;172250588;79778256
axle;60;1415057633;2613212;261506344;99.01;92868;223465272;134322196;49.08;172291980;79955796
axle;60;1415057693;2226140;261893416;99.16;93364;223863580;134338240;49.08;172484868;80137772
axle;60;1415057753;1378664;262740892;99.48;93564;224263288;134795424;49.25;173382236;80083432
axle;60;1415057813;461288;263658268;99.83;93772;224660096;135279544;49.43;176191180;78184508
