# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
axle;60;1415057333;sdb;1096.98;7623.47;74158.13;74.55;5.92;5.40;0.07;7.83
axle;60;1415057333;sda;10.43;365.73;399.07;73.30;0.03;3.09;1.00;1.05
axle;60;1415057393;sdb;664.40;13448.53;18264.80;47.73;1.63;2.45;0.05;3.10
axle;60;1415057393;sda;4.43;31.87;54.93;19.58;0.01;1.74;1.13;0.50
axle;60;1415057453;sdb;113.67;13213.87;6808.53;176.15;0.07;0.66;0.16;1.79
axle;60;1415057453;sda;4.35;6.00;65.47;16.43;0.00;0.41;0.26;0.11
axle;60;1415057513;sdb;103.67;12820.80;6251.20;183.97;0.03;0.30;0.15;1.59
axle;60;1415057513;sda;2.88;2.53;48.27;17.62;0.00;0.16;0.12;0.03
axle;60;1415057573;sdb;106.50;12888.13;6447.33;181.55;0.06;0.59;0.19;2.05
axle;60;1415057573;sda;4.03;7.87;54.27;15.40;0.00;0.53;0.30;0.12
axle;60;1415057633;sdb;97.38;12925.47;5811.07;192.40;0.03;0.28;0.15;1.43
axle;60;1415057633;sda;3.68;13.20;55.73;18.71;0.00;0.69;0.47;0.17
axle;60;1415057693;sdb;104.50;12860.40;6444.00;184.73;0.12;1.14;0.20;2.10
axle;60;1415057693;sda;5.03;36.13;65.07;20.11;0.05;8.98;0.69;0.35
axle;60;1415057753;sdb;99.62;12906.80;6348.13;193.29;0.04;0.40;0.15;1.46
axle;60;1415057753;sda;3.97;8.53;62.27;17.85;0.00;0.25;0.17;0.07
axle;60;1415057813;sdb;99.37;13000.53;6150.00;192.73;0.06;0.56;0.16;1.57
axle;60;1415057813;sda;3.77;2.40;59.73;16.50;0.00;0.00;0.00;0.00
